pool,id,ink_cost,guard,heal,preempt,aoe,target_count,pierce_guard,hit_count,counter_multiplier,ink_discount,carry_ink,enemy_attack_down,draw_cards,cast_count,cast_scale,overdraw_hit_count
early,na,0,,,,,,,,,,,,,,,
early,eoje,2,,,,,,,,,,,,,,,
reward,nado,2,,,,,,,,,,,,,,,
reward,oneul,2,,,,,,,,,,,,,,,
reward,gyeop,2,,,,,,,,,,,,,,,
reward,naman,2,,,,,,,,,,,,,,,
reward,dachin,2,,,,,,,,,,,,,,,
reward,uri,3,,,,,,,,,,,,,,,
reward,utneun,2,,,,,,,,,,,,,,,
reward,ttatteutan,2,,,,,,,,,,,,,,,
reward,andohan,2,,,,,,,,,,,,,,,
reward,hwanan,2,,,,,,,,,,,,,,,
reward,matseo,2,,,,,,,,,,,,,,,
reward,kkeutkkaji,2,,,,,,,,,,,,,,,
reward,ulmeogin,2,,,,,,,,,,,,,,,
reward,hollo,2,,,,,,,,,,,,,,,
reward,gogae,2,,,,,,,,,,,,,,,
reward,deultteun,2,,,,,,,,,,,,,,,
reward,sinnan,2,,,,,,,,,,,,,,,
reward,jangnan,2,,,,,,,,,,,,,,,
early,himkkeot,1,,,,,,1,,,,,,,,,
early,dandanhi,1,,,,,,,,,,,3,,,,
early,saljjak,1,,,,,,,,,1,,,1,,,
reward,naepda,1,,,1,,,,,,,,,,,,
reward,kkuk,2,,,,,,,,1,,,2,,,,
reward,nunmullo,2,,,,,,,,,,,4,1,,,
reward,jaeppalli,2,,,1,,,,,,,,,1,,,
reward,motdohage,2,,,,,,,,1,,1,,,,,
reward,michin,3,,,,,,,,,,,,,2,0.65,
reward,ipan,3,,,,,,1,,,,,,,,,1
reward,hwanhage,2,,,1,,,,,,,1,,,,,
reward,pogeunhage,2,,,,,,,,,1,1,2,,,,
reward,bangeopge,2,,,,,,,,,1,,,1,,,
reward,useumyeo,2,,,,,2,,,,,,,1,,,
reward,geochilge,2,,,,,2,,,,,,3,,,,
reward,sseulsseulhi,3,,,,,,,,1,,1,4,,,,
reward,aesseo,2,,,,,,,,,1,1,,,,,
reward,sinnage,2,,,,,2,,,,,,,1,,,
reward,deulsseogimyeo,2,,,,,,,,1,,1,,1,,,
reward,gyeongkwaehage,2,,,1,,,,,,1,,,1,,,
early,ttaeryeot,2,,,,,,,,,,,,,,,
early,makat,2,,,,,,,,,,,,,,,
early,gamssat,2,,,,,,,,,,,,,,,
early,huryeo,2,,,,,,,,,,,,,,,
reward,jikyeot,3,,,,,,,,,,,,,,,
reward,pumeot,3,,,,,,,,,,,,,,,
reward,naedeonjyeot,3,,,,,,,,,,,,,,,
reward,ureojyeot,3,,,,,,,,,,,,,,,
