pool,id,name,need,mult,flavor
early,ec1,"정면돌파",force|atk,1.5,"망설임 없이"
early,ec2,"철벽",solid|grd,1.45,"한 치도 안 밀린다"
early,ec3,"함께라면",both|force,1.6,"둘이 쥔 연필은 안 부러진다"
early,ec4,"홀로서기",solo|solid,1.55,"혼자여도 무너지지 않는다"
early,ec5,"오늘의 다짐",now|atk,1.5,"오늘 일은 오늘 끝낸다"
early,ec6,"상처의 값",hurt|force,1.7,"아픈 만큼 세게"
early,ec7,"메아리",echo|mend,1.5,"너를 감싸며 나도 아문다"
early,ec8,"지난 일은 잊고",mind|mend,1.55,"덮으면 낫는 것도 있다"
early,ec9,"조심스러운 손길",soft|mend,1.6,"살살, 그래서 더 잘 아문다"
early,ec10,"이를 악물고 한 발",grit|solid,1.5,"분한 마음을 삼키고도 물러서지 않았다"
early,ec11,"거침없이",rush|atk,1.5,"앞뒤 없이 내지른다"
early,ec12,"이 악물고",grit|grd,1.45,"삼킨 울음이 방패가 된다"
early,ec13,"눈물 닦고",tear|mend,1.5,"울면서도 손은 낫게 한다"
early,ec14,"빙글 돌아",dance|force,1.55,"발끝까지 힘을 실어 몸을 피한다"
early,ec15,"신난 불꽃",play|atk,1.6,"들뜬 손끝에서 불꽃이 튄다"
early,ec16,"다시 일어서기",grit|mend,1.7,"아문 마음으로 다음 줄을 쓴다"
early,ec17,"포근한 손길",warm|mend,1.5,"따뜻하게 감싸 다시 아문다"
early,ec18,"눈 깜짝할 새",swift|atk,1.5,"재빠른 손끝이 먼저 닿는다"
early,ec19,"광란의 일격",mad|atk,1.6,"생각할 틈 없이 몰아친다"
early,ec20,"물러설 곳 없이",reckless|atk,1.6,"끝까지 몰린 마음으로 내지른다"
early,ec21,"환한 수선",bright|mend,1.5,"밝은 마음으로 찢어진 줄을 잇는다"
early,ec22,"반가운 손길",greet|mend,1.5,"다시 만난 이야기를 다정히 고친다"
early,ec23,"웃으며 고치기",smile|mend,1.5,"웃음을 잃지 않고 상처를 다듬는다"
early,ec24,"성난 일격",rage|atk,1.55,"거친 마음을 한 획에 싣는다"
early,ec25,"쓸쓸한 방패",lone|grd,1.5,"혼자 남아도 한 줄을 지킨다"
early,ec26,"애써 일어서기",endure|mend,1.55,"흔들리는 손으로 다시 마음을 잇는다"
early,ec27,"들썩이는 공격",bounce|atk,1.5,"신난 박자가 타격으로 이어진다"
early,ec28,"경쾌한 회복",lively|mend,1.5,"가벼운 박자로 상처를 풀어낸다"
early,ec29,"환하게 번져라",bright|wide,1.55,"환한 마음이 옆 줄까지 번진다"
early,ec30,"신나는 연타",play|hit,1.55,"들뜬 박자가 타격을 이어 붙인다"
early,ec31,"장난스런 파도",play|wide,1.55,"장난처럼 시작한 줄이 넓게 퍼진다"
expansion,c1,"고독한 전사",solo|war|atk,1.55,"혼자서 맞서는 자"
expansion,c2,"화염광란",mad|fire|fire,1.9,"미쳐 타오르다"
expansion,c3,"완전한 정적",quiet|quiet,1.6,"숨죽인 방어"
expansion,c4,"망각의 의식",mind|mind,1.5,"잊으며 회복하다"
expansion,c5,"공멸",both|fire,2.0,"함께 타 죽는다"
expansion,c6,"장맛비",wide|water,1.6,"모두를 적시는 비"
