id,name,rarity,art,hp,atk,guard,heal,luck,passive,flavor
ribbon,"아버지의 낡은 이야기책",common,book,0,0,1,0,0,,"몇 번을 덮어도 다음 이야기가 기다린다."
candle,"소년의 몽당연필",common,pencil,0,1,0,0,0,,"짧아진 만큼 손끝에 꼭 맞는다."
emptyShell,"바닷가의 빈 소라",common,shell,0,0,0,1,0,,"귀를 대면 멀리 두고 온 파도가 들린다."
lostMap,"길 잃은 이의 지도",common,map,0,0,0,0,1,,"목적지는 지워졌지만 길은 아직 남아 있다."
starLantern,"별빛의 손등불",common,starLantern,2,0,0,0,0,,"작은 별 하나가 유리 안에서 길을 밝힌다."
oilLantern,"밤지기의 등불",common,oilLantern,0,0,1,0,0,,"꺼지지 않은 불씨가 밤의 가장자리를 밀어낸다."
oldCompass,"여행자의 나침반",common,compass,0,0,0,0,1,,"바늘은 늘 다음 문장이 있는 쪽을 가리킨다."
gardenSpray,"정원사의 벌레약",rare,bugSpray,0,2,0,0,0,,"벌레가 가까이 오면 오래된 분사구가 먼저 운다."
storyBrush,"화가의 검은 붓",rare,brush,0,1,0,0,1,,"검은 털끝이 빈 여백의 모양을 찾아낸다."
paperShield,"기사의 종이방패",rare,paperShield,0,0,2,0,0,,"접힌 자국마다 지켜 낸 문장이 한 줄씩 남았다."
stargazerScope,"별지기의 망원경",rare,telescope,0,0,0,0,2,,"가장 먼 빛도 한 칸 앞으로 당겨 보여 준다."
blueInkwell,"작가의 푸른 잉크",rare,inkwell,0,1,0,1,0,,"마른 문장도 한 방울이면 다시 흐르기 시작한다."
yesterdayHourglass,"어제의 모래시계",rare,hourglass,0,0,1,0,1,,"뒤집을 때마다 지나간 순간이 잠깐 돌아온다."
forestRemedy,"숲의 회복약",rare,remedy,0,0,0,2,0,,"이름 모를 잎사귀 냄새가 상처보다 먼저 번진다."
keepersSatchel,"기록자의 낡은 가방",rare,satchel,2,0,1,0,0,,"헤진 주머니마다 잃어버리지 않은 조각이 들어 있다."
echoChime,"누댕의 메아리",epic,chime,0,0,0,0,0,echo,"한 번 부른 이름이 두 번 돌아온다."
tastyVerb,"두 겹의 문장과자",epic,snack,0,0,0,0,0,twinVerb,"한입 베어 물면 동사가 둘로 바삭하게 갈라진다."
snowShoe,"백설공주의 유리구두",epic,shoe,0,0,0,0,0,heavyShoe,"무겁지만 한 번 내디딘 발자국은 선명하다."
matchCloak,"성냥팔이의 붉은 망토",epic,cloak,0,0,0,0,0,luckCloak,"마지막 불씨가 사라진 뒤에도 운이 어깨에 남는다."
pinoDoubt,"피노키오의 물음표",epic,pino,0,0,0,0,0,doubt,"끝난 문장 뒤에서 작은 의심 하나가 고개를 든다."
olymCarrot,"올림프의 황금 당근",legendary,carrot,0,0,0,0,0,punct,"마지막 한 획이 문장 전체의 운명을 정한다."
goldenApple,"신데렐라의 황금사과",legendary,apple,0,0,0,0,0,retry,"자정을 놓친 실수도 단 한 번은 되돌릴 수 있다."
beautyMirror,"미녀의 은빛 거울",legendary,mirror,0,0,0,0,0,twinSubj,"거울 속의 나까지 같은 이야기를 써 내려간다."
redMatch,"빨간망토의 불씨",legendary,match,0,0,0,0,0,matchFire,"작은 불꽃이 문장의 칸마다 차례로 옮겨붙는다."
pigBbq,"아기돼지의 숯불화로",legendary,bbq,0,0,0,0,0,bbq,"벌레를 몰아낼수록 숯불이 붉게 달아오른다."
beanSprout,"잭의 하늘나물",legendary,beanstalk,0,0,0,0,0,beanstalk,"콩은 아니었지만 여백 끝까지 무럭무럭 자란다."
